customer_id,signup_date,city_tier,age_group,acquisition_channel,loyalty_tier,preferred_category,skin_type,marketing_consent
CUST00001,4/24/2024,Tier 1,18-24,Instagram,Silver,Makeup,Normal,Yes
CUST00002,6/1/2025,Tier 2,25-34,Marketplace,Silver,Hair Care,Combination,Yes
CUST00003,3/8/2025,Tier 1,25-34,Influencer,None,Skin Care,Oily,Yes
CUST00004,4/15/2025,Tier 3,25-34,Google Search,None,Fragrance,Normal,No
CUST00005,8/21/2024,Tier 3,35-44,Organic,Gold,Hair Care,Combination,Yes
CUST00006,9/30/2024,Tier 2,35-44,Instagram,Silver,Baby Care,Dry,Yes
CUST00007,7/24/2025,Tier 1,18-24,Organic,None,Fragrance,Sensitive,Yes
CUST00008,11/18/2024,Tier 2,18-24,Organic,Silver,Skin Care,Dry,Yes
CUST00009,8/20/2025,Tier 1,25-34,Influencer,None,Skin Care,Oily,No
CUST00010,9/2/2025,Tier 1,18-24,Influencer,None,Wellness,Oily,Yes
CUST00011,12/14/2024,Tier 2,18-24,Referral,Gold,Fragrance,Sensitive,No
CUST00012,11/1/2024,Tier 2,35-44,Instagram,None,Skin Care,Normal,No
CUST00013,1/6/2025,Tier 3,35-44,Google Search,None,Fragrance,Oily,Yes
CUST00014,5/8/2024,Tier 2,18-24,Referral,None,Fragrance,Combination,No
CUST00015,11/15/2024,Tier 2,25-34,Google Search,Gold,Hair Care,Dry,Yes
CUST00016,8/13/2024,Tier 2,18-24,Instagram,None,Skin Care,Sensitive,Yes
CUST00017,5/15/2024,Tier 3,35-44,Referral,None,Hair Care,Combination,Yes
CUST00018,4/23/2025,Tier 1,35-44,Marketplace,Silver,Skin Care,NA,Yes
CUST00019,4/4/2025,Tier 1,18-24,Referral,Gold,Skin Care,Normal,Yes
CUST00020,4/5/2024,Tier 3,45+,Instagram,None,Skin Care,Combination,No
CUST00021,4/10/2025,Tier 2,25-34,Marketplace,Silver,Makeup,Combination,Yes
CUST00022,7/9/2025,Tier 1,18-24,Instagram,None,Wellness,Normal,Yes
CUST00023,9/1/2025,Tier 3,18-24,Google Search,Gold,Baby Care,Normal,Yes
CUST00024,6/19/2025,Tier 1,25-34,Marketplace,None,Skin Care,Dry,Yes
CUST00025,3/15/2024,Tier 2,18-24,Referral,None,Baby Care,Normal,Yes
CUST00026,1/13/2025,Tier 2,25-34,Referral,None,Wellness,NA,Yes
CUST00027,4/16/2024,Tier 1,45+,Instagram,None,Baby Care,Sensitive,Yes
CUST00028,9/27/2024,Tier 1,25-34,Influencer,None,Baby Care,Sensitive,Yes
CUST00029,6/14/2024,Tier 2,35-44,Referral,None,Skin Care,NA,No
CUST00030,5/31/2024,Tier 1,25-34,Google Search,Gold,Wellness,Oily,No
CUST00031,7/27/2025,Tier 1,35-44,Marketplace,None,Wellness,Dry,No
CUST00032,12/6/2024,Tier 1,35-44,Marketplace,Silver,Skin Care,Dry,No
CUST00033,8/15/2024,Tier 3,18-24,Google Search,Gold,Fragrance,Dry,Yes
CUST00034,10/12/2024,Tier 2,25-34,Marketplace,Gold,Hair Care,Oily,Yes
CUST00035,9/28/2024,Tier 2,18-24,Google Search,Silver,Hair Care,Normal,Yes
CUST00036,3/22/2025,Tier 3,18-24,Referral,Silver,Makeup,NA,Yes
CUST00037,11/17/2024,Tier 1,35-44,Influencer,None,Makeup,Sensitive,Yes
CUST00038,1/23/2025,Tier 3,35-44,Marketplace,None,Baby Care,Oily,Yes
CUST00039,11/25/2024,Tier 2,25-34,Instagram,None,Wellness,NA,Yes
CUST00040,12/9/2024,Tier 3,18-24,Instagram,None,Fragrance,Dry,Yes
CUST00041,3/15/2024,Tier 3,25-34,Referral,Silver,Hair Care,Combination,Yes
CUST00042,4/19/2024,Tier 1,35-44,Organic,Silver,Hair Care,Normal,Yes
CUST00043,6/27/2025,Tier 2,45+,Influencer,Gold,Baby Care,NA,No
CUST00044,6/11/2024,Tier 2,35-44,Google Search,None,Baby Care,Normal,Yes
CUST00045,8/28/2024,Tier 1,25-34,Referral,None,Skin Care,NA,Yes
CUST00046,4/22/2025,Tier 1,25-34,Referral,Gold,Baby Care,NA,Yes
CUST00047,12/26/2024,Tier 1,25-34,Organic,Gold,Baby Care,NA,Yes
CUST00048,3/22/2025,Tier 1,25-34,Marketplace,Silver,Makeup,Combination,No
CUST00049,8/29/2025,Tier 1,25-34,Marketplace,None,Hair Care,Oily,Yes
CUST00050,1/23/2025,Tier 3,25-34,Referral,Gold,Hair Care,NA,Yes
CUST00051,2/11/2024,Tier 3,35-44,Instagram,None,Skin Care,Dry,Yes
CUST00052,9/19/2024,Tier 1,35-44,Marketplace,Silver,Skin Care,Dry,No
CUST00053,1/19/2025,Tier 2,25-34,Instagram,Silver,Baby Care,Oily,Yes
CUST00054,8/2/2025,Tier 1,35-44,Referral,None,Hair Care,Sensitive,Yes
CUST00055,1/5/2025,Tier 3,25-34,Marketplace,None,Makeup,NA,Yes
CUST00056,3/22/2025,Tier 2,35-44,Google Search,None,Wellness,Sensitive,No
CUST00057,1/23/2025,Tier 2,25-34,Google Search,None,Hair Care,Sensitive,Yes
CUST00058,1/11/2024,Tier 1,25-34,Google Search,None,Baby Care,Dry,Yes
CUST00059,4/5/2024,Tier 1,25-34,Google Search,Silver,Hair Care,Normal,Yes
CUST00060,4/9/2025,Tier 1,25-34,Instagram,None,Skin Care,Normal,No
CUST00061,10/10/2024,Tier 3,35-44,Referral,None,Skin Care,Dry,Yes
CUST00062,5/9/2024,Tier 3,25-34,Referral,Silver,Skin Care,Combination,Yes
CUST00063,12/14/2024,Tier 1,18-24,Influencer,None,Fragrance,Combination,Yes
CUST00064,7/30/2025,Tier 1,45+,Google Search,None,Hair Care,Normal,No
CUST00065,3/29/2025,Tier 2,25-34,Referral,None,Skin Care,NA,Yes
CUST00066,3/24/2024,Tier 1,18-24,Instagram,None,Hair Care,Normal,Yes
CUST00067,4/9/2025,Tier 1,18-24,Google Search,Silver,Baby Care,Dry,Yes
CUST00068,5/25/2024,Tier 1,18-24,Google Search,Silver,Baby Care,Sensitive,Yes
CUST00069,10/5/2024,Tier 2,25-34,Instagram,None,Hair Care,Sensitive,Yes
CUST00070,8/12/2025,Tier 1,25-34,Organic,Gold,Baby Care,Dry,Yes
CUST00071,8/22/2025,Tier 3,25-34,Influencer,None,Hair Care,Sensitive,Yes
CUST00072,10/22/2024,Tier 1,35-44,Organic,None,Skin Care,Sensitive,Yes
CUST00073,1/2/2024,Tier 2,25-34,Google Search,None,Hair Care,Combination,Yes
CUST00074,10/21/2024,Tier 2,25-34,Instagram,Platinum,Baby Care,Dry,Yes
CUST00075,8/18/2024,Tier 3,45+,Referral,None,Fragrance,Combination,No
CUST00076,5/9/2025,Tier 1,45+,Referral,None,Wellness,Normal,No
CUST00077,2/28/2025,Tier 3,25-34,Google Search,None,Makeup,Normal,Yes
CUST00078,5/10/2025,Tier 2,25-34,Referral,None,Hair Care,Dry,No
CUST00079,2/24/2025,Tier 2,18-24,Marketplace,Silver,Hair Care,NA,No
CUST00080,5/9/2024,Tier 2,25-34,Organic,Gold,Hair Care,Normal,No
CUST00081,6/7/2024,Tier 3,18-24,Google Search,Silver,Hair Care,Oily,No
CUST00082,11/20/2024,Tier 3,25-34,Referral,None,Baby Care,Dry,Yes
CUST00083,3/20/2025,Tier 2,45+,Marketplace,None,Skin Care,Sensitive,No
CUST00084,1/18/2025,Tier 1,25-34,Google Search,Silver,Skin Care,Dry,Yes
CUST00085,8/20/2025,Tier 2,18-24,Google Search,None,Skin Care,Combination,No
CUST00086,12/19/2024,Tier 1,45+,Influencer,Silver,Hair Care,Sensitive,Yes
CUST00087,8/8/2025,Tier 1,25-34,Marketplace,None,Fragrance,Combination,Yes
CUST00088,2/20/2024,Tier 2,45+,Organic,Gold,Makeup,Dry,Yes
CUST00089,5/20/2024,Tier 3,25-34,Marketplace,None,Hair Care,Normal,Yes
CUST00090,3/1/2025,Tier 1,18-24,Referral,Platinum,Baby Care,Sensitive,No
CUST00091,10/29/2024,Tier 1,35-44,Instagram,Platinum,Skin Care,Dry,No
CUST00092,7/24/2025,Tier 3,25-34,Instagram,None,Hair Care,NA,No
CUST00093,1/15/2025,Tier 1,18-24,Instagram,Gold,Baby Care,Normal,Yes
CUST00094,11/5/2024,Tier 1,25-34,Instagram,None,Wellness,Oily,Yes
CUST00095,7/7/2025,Tier 2,25-34,Instagram,None,Skin Care,Combination,Yes
CUST00096,8/10/2024,Tier 3,25-34,Organic,None,Makeup,Normal,No
CUST00097,5/5/2024,Tier 3,45+,Instagram,None,Baby Care,Oily,Yes
CUST00098,7/29/2024,Tier 2,18-24,Instagram,None,Fragrance,Sensitive,No
CUST00099,5/28/2024,Tier 2,45+,Organic,None,Fragrance,Dry,Yes
CUST00100,6/27/2024,Tier 1,25-34,Referral,None,Skin Care,Combination,No
CUST00101,2/14/2024,Tier 3,35-44,Marketplace,None,Baby Care,Oily,Yes
CUST00102,5/17/2025,Tier 2,35-44,Organic,None,Skin Care,Dry,Yes
CUST00103,9/3/2025,Tier 2,25-34,Marketplace,None,Makeup,NA,Yes
CUST00104,4/7/2025,Tier 1,35-44,Organic,None,Makeup,Sensitive,Yes
CUST00105,4/30/2025,Tier 3,18-24,Instagram,None,Makeup,Dry,Yes
CUST00106,5/5/2024,Tier 3,25-34,Influencer,None,Wellness,Oily,No
CUST00107,8/5/2024,Tier 2,18-24,Organic,None,Baby Care,Oily,No
CUST00108,7/24/2025,Tier 3,18-24,Organic,None,Skin Care,NA,No
CUST00109,5/26/2024,Tier 1,25-34,Instagram,Silver,Skin Care,NA,Yes
CUST00110,11/15/2024,Tier 2,35-44,Referral,None,Skin Care,Dry,No
CUST00111,3/10/2025,Tier 2,25-34,Google Search,Silver,Skin Care,Combination,Yes
CUST00112,11/11/2024,Tier 1,18-24,Marketplace,None,Hair Care,Dry,No
CUST00113,5/24/2025,Tier 1,35-44,Google Search,Silver,Hair Care,NA,No
CUST00114,1/20/2024,Tier 1,25-34,Google Search,None,Hair Care,NA,Yes
CUST00115,4/16/2025,Tier 3,35-44,Instagram,Gold,Skin Care,Normal,Yes
CUST00116,8/14/2024,Tier 1,25-34,Referral,None,Hair Care,Sensitive,Yes
CUST00117,4/15/2024,Tier 1,18-24,Marketplace,Silver,Baby Care,Dry,No
CUST00118,8/16/2025,Tier 3,25-34,Referral,Silver,Baby Care,NA,Yes
CUST00119,10/8/2024,Tier 1,25-34,Instagram,None,Skin Care,Sensitive,No
CUST00120,8/31/2025,Tier 2,25-34,Referral,Silver,Fragrance,Combination,No
CUST00121,5/28/2025,Tier 1,18-24,Instagram,Gold,Hair Care,NA,Yes
CUST00122,3/25/2025,Tier 2,25-34,Google Search,Gold,Hair Care,Sensitive,Yes
CUST00123,12/3/2024,Tier 2,18-24,Google Search,Silver,Baby Care,Normal,No
CUST00124,12/24/2024,Tier 2,25-34,Marketplace,None,Makeup,Oily,Yes
CUST00125,6/23/2025,Tier 2,18-24,Referral,None,Hair Care,Dry,Yes
CUST00126,6/7/2024,Tier 3,18-24,Instagram,Silver,Fragrance,Normal,Yes
CUST00127,1/20/2025,Tier 1,18-24,Marketplace,Silver,Wellness,NA,Yes
CUST00128,3/30/2025,Tier 2,25-34,Organic,None,Skin Care,Combination,No
CUST00129,3/27/2025,Tier 1,25-34,Google Search,None,Wellness,Dry,No
CUST00130,1/15/2025,Tier 1,25-34,Organic,Gold,Skin Care,Dry,Yes
CUST00131,8/15/2024,Tier 3,35-44,Influencer,None,Hair Care,Sensitive,Yes
CUST00132,4/11/2024,Tier 2,35-44,Organic,None,Skin Care,Combination,Yes
CUST00133,1/6/2024,Tier 1,45+,Instagram,None,Wellness,Normal,Yes
CUST00134,2/18/2024,Tier 2,25-34,Marketplace,None,Fragrance,Combination,Yes
CUST00135,5/27/2024,Tier 1,25-34,Google Search,None,Skin Care,NA,Yes
CUST00136,6/3/2025,Tier 2,35-44,Instagram,Gold,Skin Care,Combination,No
CUST00137,12/19/2024,Tier 2,25-34,Instagram,Silver,Makeup,Dry,Yes
CUST00138,4/20/2025,Tier 2,45+,Instagram,None,Makeup,Combination,Yes
CUST00139,11/19/2024,Tier 2,45+,Influencer,None,Skin Care,NA,Yes
CUST00140,12/5/2024,Tier 3,25-34,Referral,None,Hair Care,Combination,Yes
CUST00141,6/15/2025,Tier 1,25-34,Referral,None,Wellness,Dry,Yes
CUST00142,11/9/2024,Tier 2,25-34,Instagram,None,Hair Care,NA,No
CUST00143,2/28/2024,Tier 2,18-24,Google Search,Silver,Makeup,Oily,Yes
CUST00144,3/9/2024,Tier 2,25-34,Google Search,Gold,Skin Care,Dry,Yes
CUST00145,8/10/2025,Tier 1,18-24,Google Search,None,Wellness,Oily,No
